store_id,store_name,city,state,country,region,store_type,open_date
S200,"Bhasin, Srivastava and Ramakrishnan",Bulandshahr,West Bengal,India,West,Mall,2020-11-15
S201,Kibe PLC,Bhusawal,Gujarat,India,South,Standalone,2017-10-28
S202,Loke PLC,Aurangabad,Tamil Nadu,India,East,Standalone,2020-01-28
S203,Talwar-Biswas,Morena,Mizoram,India,East,Standalone,2017-12-17
S204,Sachdeva-Mani,Kirari Suleman Nagar,Himachal Pradesh,India,North,Warehouse,2018-09-09
S205,"Kala, Deol and Konda",Gulbarga,Bihar,India,South,Warehouse,2021-08-16
S206,Grover and Sons,Shimoga,Odisha,India,South,Standalone,2021-05-12
S207,"Mahal, Karan and Balakrishnan",Tezpur,Nagaland,India,North,Warehouse,2024-03-14
S208,Saha LLC,South Dumdum,Rajasthan,India,East,Warehouse,2019-09-10
S209,Setty-Sagar,Madanapalle,Haryana,India,West,Standalone,2016-09-06
S210,Rajagopal Ltd,Dindigul,Manipur,India,North,Warehouse,2016-06-20
S211,Mani Group,Katihar,Tripura,India,West,Standalone,2016-11-25
S212,"Chandra, Barad and Grover",Bulandshahr,Chhattisgarh,India,West,Mall,2023-06-24
S213,Saini Group,Vijayanagaram,Punjab,India,North,Warehouse,2019-11-13
S214,Deol-Dewan,Karawal Nagar,Andhra Pradesh,India,West,Standalone,2018-01-24
S215,Upadhyay-Shukla,Jamalpur,Maharashtra,India,East,Standalone,2020-10-09
S216,Acharya Ltd,Thoothukudi,Madhya Pradesh,India,East,Warehouse,2023-02-16
S217,Keer Group,Belgaum,Karnataka,India,West,Warehouse,2017-05-30
S218,"Karan, Ramanathan and Bansal",Panihati,Uttarakhand,India,North,Warehouse,2023-01-25
S219,"Chawla, Vaidya and Issac",Salem,Uttarakhand,India,North,Warehouse,2023-10-06
S220,"Agate, Ramaswamy and Lata",Bikaner,Chhattisgarh,India,South,Standalone,2022-03-27
S221,Dewan Group,Amaravati,Mizoram,India,North,Standalone,2024-02-15
S222,Varma-Swamy,Haridwar,Haryana,India,East,Mall,2022-09-30
S223,Devi-Singh,Ujjain,Telangana,India,West,Standalone,2017-12-07
S224,Garde-Zachariah,Silchar,Telangana,India,East,Mall,2022-06-30
S225,Kara-Doctor,Dhule,Haryana,India,South,Warehouse,2017-11-07
S226,Saraf-Bahri,Chittoor,Andhra Pradesh,India,North,Standalone,2020-12-22
S227,"Sachdev, Vig and Mangal",Gandhidham,Meghalaya,India,North,Standalone,2023-02-28
S228,"Kashyap, Sachdev and Sarin",Bangalore,Goa,India,South,Warehouse,2020-10-26
S229,Gola and Sons,Panvel,Tamil Nadu,India,South,Warehouse,2022-12-23
S230,Ahluwalia Group,Morbi,Tripura,India,East,Mall,2020-06-18
S231,Dhaliwal-Jha,Anantapuram,Gujarat,India,North,Mall,2024-05-19
S232,Kale LLC,Bhimavaram,Odisha,India,North,Standalone,2021-05-23
S233,Hayre PLC,Darbhanga,Uttarakhand,India,North,Warehouse,2022-08-12
S234,Edwin-Jani,Jodhpur,Nagaland,India,East,Warehouse,2016-03-08
S235,Kata LLC,Bokaro,Haryana,India,North,Standalone,2022-07-31
S236,"Guha, Rajagopalan and Lad",Serampore,Assam,India,West,Warehouse,2016-08-02
S237,Dora-Maharaj,Bhopal,Andhra Pradesh,India,North,Standalone,2016-04-19
S238,Devi-Anne,Sirsa,Himachal Pradesh,India,East,Mall,2020-10-01
S239,"Subramanian, Lala and Chopra",Bathinda,Uttar Pradesh,India,West,Standalone,2024-02-10
S240,"Bail, Bajaj and Shah",Morena,Arunachal Pradesh,India,North,Warehouse,2017-08-07
S241,Trivedi-Vasa,Nellore,Kerala,India,South,Standalone,2019-01-16
S242,"Sachdev, Khatri and Saha",Chinsurah,Chhattisgarh,India,North,Standalone,2024-12-12
S243,"Deshmukh, Atwal and Reddy",South Dumdum,Arunachal Pradesh,India,South,Mall,2024-01-08
S244,Sridhar Group,Coimbatore,Jharkhand,India,East,Standalone,2016-08-19
S245,Trivedi Group,Gudivada,Manipur,India,East,Standalone,2016-06-30
S246,Acharya-Dugar,Faridabad,Nagaland,India,North,Warehouse,2024-09-01
S247,Khosla PLC,Vadodara,Mizoram,India,North,Warehouse,2019-06-27
S248,Thakkar Group,Miryalaguda,Telangana,India,West,Standalone,2024-05-30
S249,Keer LLC,Chinsurah,Bihar,India,East,Warehouse,2018-08-17
